Episodes = 1811,alpha=0.1,gamma=0.99,epsilon=0.04993675381238609,epsilon_decay_rate=0.998,tau=0.125,batch=128,128relu/64relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-411.43642521555734,-332.0060861686904,121
-165.81295011257345,-326.57454834011077,119
-173.89005047052893,-306.1848195144723,87
-114.4757069221574,-300.35878429263533,58
-98.64481779016134,-297.3715343022791,64
-108.81585076461779,-297.87757902663554,91
-319.7789010310197,-317.8005158121201,79
-441.5418981701996,-314.71959901133977,85
-505.88481478367197,-324.8480248091892,80
-509.7985547714231,-329.88684012551414,73
-87.1240676998185,-324.03970828850936,56
-342.74090914128885,-326.52050946414084,95
-440.3561474130579,-340.11116046620185,84
-274.7373518949675,-349.34818598890456,53
-413.250782505855,-366.950938224851,70
-637.3780999547484,-370.57048551669584,87
-363.35678815692927,-340.53453875099876,70
-517.8060899747031,-334.02889396358574,58
-650.7444709426829,-321.86676711260174,74
-129.87675332970244,-311.2462798543096,74
-123.32308136620485,-311.95180650930405,63
-179.87763807991917,-302.35259384102517,101
-708.5374370528032,-292.5510004983248,146
-1008.9361361005139,-281.42077492583996,228
-520.1662555836446,-264.66138613726673,65
-114.80314727000257,-246.4405197841035,57
-90.67506788744663,-238.88091916341554,52
-165.74223133009744,-234.36230160033506,58
-177.77335881402908,-220.90436896084378,54
-583.0905847506564,-209.45452786439517,79
-304.41587737662127,-184.95521503973396,50
-432.6641783772298,-168.50370374708302,85
-199.49085566465192,-160.386907310671,59
-724.3282704740384,-152.0884574931774,210
-472.4931437882615,-136.1959905658839,67
-208.06882011631166,-131.09600779720998,62
-94.54395169655254,-132.83937127601425,93
-322.7684695684056,-130.56013964493187,87
-52.98412564730786,-131.92543227020812,115
-432.4334094931349,-131.27381194761784,104
-129.11701463907713,-132.39964564009523,73
-324.58502912046487,-132.23930074597885,72
-237.1920196937663,-134.32474303523463,67
-420.8345617814123,-135.871724654191,70
-227.00039421414704,-135.9001345520552,55
-377.8903115586854,-137.9194917061369,107
-45.870007496413706,-136.2372811822138,60
-266.0864875755204,-142.2375815563584,89
-419.3244879203209,-138.19786399014322,66
-838.1315458301859,-137.63639943346715,123
-260.0983494527503,-137.9951663150282,56
-217.7249897587389,-137.72039342251816,63
-107.35750937425829,-136.14718410617462,48
-336.04851704155317,-134.53642337800153,80
-401.48112964440014,-135.53344283958648,90
-375.86805142849545,-132.6414003343144,66
-148.70945808702692,-133.67790334615208,54
-555.8975539975318,-131.98634215442425,69
-488.09180349477424,-132.6343141511477,68
-188.86410402647408,-132.48259371513151,64
-126.83905057410432,-131.03268340595605,53
-151.75900336826433,-135.71313742751093,89
-116.38920263946292,-137.22257233316546,56
-556.5195537232853,-135.80871443314288,95
-174.52477790049943,-136.28922278702387,54
-79.29150767734914,-150.51899644641443,76
-277.41155360126055,-162.55458440702353,83
-92.41114224109371,-164.04036279984143,54
-400.3715995180188,-171.38271891705207,94
-590.4338253292481,-190.12320493413947,191
-365.2736726551258,-210.00569389215008,51
-420.8540866487121,-241.45136233691954,103
-276.1371339342376,-274.4697355690584,94
-183.20328353231213,-300.40160866326534,78
-285.1966357415951,-318.85791607563914,83
-515.390803428038,-327.27603845716936,95
-187.42517947770267,-336.78405244248955,103
-656.3666954690746,-354.9516150771301,114
-121.62561011454889,-365.85732487877476,91
-125.13661316044873,-366.036038071051,97
-216.0209045799274,-379.2281061065727,63
-123.83508322089665,-367.45507889662446,62
-756.1024116047154,-352.41925547159235,229
-105.86488261262564,-337.5736212464194,94
19.778383615765122,-325.2928899123025,85
-92.60394548334291,-305.5778021663831,78
-297.43075265661946,-296.91674727656397,81
-494.7830018413442,-281.2156314760447,166
-441.6542481127111,-263.4506156046593,68
-285.61762283296594,-249.73580830169675,50
-163.64960568572135,-215.55034503421228,77
-538.8028757249369,-195.35274305814107,59
-743.5459592071741,-179.64974630927745,76
-507.14784291122515,-162.500928320296,83
-258.1431422093532,-158.94844264917091,89
-159.29267698767245,-157.5214769483912,74
-274.1647210581691,-144.22415827894588,79
-72.21528784994607,-136.91036059239283,74
-290.1578658555153,-136.50127808135719,95
-118.77457506396473,-135.93855115293752,58
-555.1478367796208,-132.25928691350782,89
-528.0817550240699,-131.61584375922791,79
-148.2301727503919,-130.86214114464917,89
-626.2286976821341,-130.74090897779232,75
-609.3481809498583,-135.53248477259086,62
-118.33955326917999,-136.06197972121754,64
-587.8775506787193,-135.6739189837205,78
-181.93604488487892,-136.21595389682486,70
-507.71752869406976,-134.14086005882763,98
-374.2198443787669,-134.35242348202962,51
-200.23067157232046,-140.16584375790774,76
-173.58185134879085,-144.22323678758383,66
-96.69711120800153,-146.65985837869547,133
-352.97880850383314,-145.98243030789908,107
-350.6158131252374,-143.85723046434387,68
-391.00994795669067,-143.59226995441594,95
-690.6126639230656,-143.57535903223948,168
-430.6822278174117,-142.63430015669468,122
-391.5675094635031,-149.1552633032189,92
-135.62075987894843,-158.46345401627184,70
-300.85098493031717,-159.33756625864763,104
-479.3525359891985,-161.61713025140304,88
-62.17634980930571,-158.96701223061365,62
-182.87770005483154,-172.37095171124744,147
-108.13006867339693,-173.03223908441873,57
-137.99392585350859,-174.6356035738353,50
-165.3539421754248,-171.7990846962797,80
-101.34581771774117,-174.82585703751803,56
-109.91280207871287,-174.3723928581386,54
-217.1359229452387,-165.97323473312125,64
-69.67299037410338,-171.5607154725541,97
-260.9277535754082,-186.41030499888376,64
-219.85816687750292,-214.62909684288496,90
-67.64881895007025,-218.93102130334427,72
-159.15375932208673,-239.71747259006136,62
