Episodes = 1091,alpha=0.0001,gamma=0.99,epsilon=0.04710128697246249,epsilon_decay_rate=0.9,tau=0.2,batch=128,128relu/128relu/linear,Adam opt,Loss mse
episode_rewards,hundred_ep_reward_avgs,episode_lengths
-528.5338129325398,-519.2600222139528,135
-537.999740759196,-532.4314138184618,84
-646.186496080088,-530.1453519936641,84
-638.7978749959758,-475.4051194451942,91
-183.21139982512307,-430.76795547226027,73
-400.84931244943664,-401.074815994589,175
-733.74332379308,-391.2585149723255,108
-903.6810088588294,-347.4877832319416,137
-119.24801207828834,-305.4000046939535,91
-653.8300354369827,-220.58216120362954,67
-435.14760861538093,-166.81647222216085,60
-472.7455186118076,-132.65303020515242,85
-552.4707883613085,-135.98395308620152,76
-98.7743961065228,-130.34897141651075,59
-111.95095634381548,-130.04145377359148,53
-73.24411462450587,-132.0427433414686,82
-126.03757828350263,-130.1319752948397,57
-174.4782916885369,-128.90206879077707,74
-167.95028295980947,-127.30320506671882,87
-139.29587614331444,-129.55118651429032,67
-127.39532413156965,-125.68691253083762,68
-163.33139301652827,-121.60423324507468,87
-97.0168213194385,-120.1632924856057,84
-115.52161166786581,-123.3384545851677,76
-146.72368865160166,-124.04744696176336,86
-113.0493081309055,-125.55242198021523,55
-123.02801780152646,-127.52847738491006,56
-165.8414467762128,-131.30409107336052,71
-154.33898582637812,-131.78107146351618,75
-157.99692147850726,-129.26967735268136,55
43.882202697182834,-130.91206147294093,65
-141.1187882853149,-130.81532158763247,67
-110.52664524481902,-128.5323770357485,58
-457.72293774775954,-125.69097525324288,76
-209.92136694954095,-126.52032248219865,88
-132.8135593479226,-126.59110123837536,53
-136.8812780106211,-126.52696722894565,66
-237.44204524457962,-125.95657329175319,102
-5357.556128005243,-126.54569048746804,441
-379.288842477367,-126.77673609659807,57
-83.66214259261133,-128.8563031955238,55
-158.90822466044284,-127.98743484127374,64
-125.67855298175422,-131.40067908357895,56
-1383.4007122998512,-131.1453140542132,196
-1281.2266274188446,-132.13608126910518,152
-89.65595173608388,-134.1561151261489,53
-777.1573701618056,-132.03959189247718,78
-540.1216040240023,-132.12591232320202,62
-732.9792729887572,-132.03031713445844,78
-541.4109044147158,-131.8568000606564,63
-477.5956417962275,-128.51716295780815,65
-755.5913967042959,-129.6236708509895,79
-88.0888302038254,-130.74731312088733,55
-423.98139457793104,-133.26837744462907,54
-354.718115585895,-131.01494062483044,54
-829.801405447693,-129.016185793792,130
-495.2333595699461,-130.06636026746844,96
-126.21168531882057,-131.14352142322733,50
-175.1065195009965,-131.20821315417427,68
-259.707849992129,-133.81756276004495,156
-130.82797832170007,-136.1661335868752,56
-134.20008401640678,-136.6051767404707,58
-99.9572904513141,-136.28235255413017,70
-122.03105460978917,-132.82300488157023,53
-186.16149230136912,-132.30604881459854,72
-145.32817957935038,-134.2801505435427,82
-127.86981686419534,-133.1707262959213,73
-113.02284537968215,-132.40791916059024,66
-1150.670392446225,-132.3047039845712,165
-81.66570214736463,-131.1748883224471,51
-932.2401489131933,-133.64813741895793,143
-578.6211902786995,-135.57751205283634,78
-101.52074902503387,-135.5349104300909,55
-629.3326995469731,-135.71079637995405,97
