Episodes = 1831,alpha=0.0001,gamma=0.99,epsilon=1.0,epsilon_decay_rate=0.998,tau=0.125,batch=128,64relu/64relu/linear,Adam opt,Loss mse,,,,,,,,,,,,
episode_rewards,hundred_ep_reward_avgs,episode_lengths,,,,,,,,,,,,,,,,,,,
-46.88785842,216.9019334,103,,,,,,,,,,,,,,,,,,,
-75.22848246,217.0067521,103,,,,,,,,,,,,,,,,,,,
-78.3458278,224.2624012,156,,,,,,,,,,,,,,,,,,,
-26.61843885,231.5452311,122,,,,,,,,,,,,,,,,,,,
-119.1099454,240.2236504,122,,,,,,,,,,,,,,,,,,,
-107.4237648,240.9852623,408,,,,,,,,,,,,,,,,,,,
-53.32010642,231.0673539,497,,,,,,,,,,,,,,,,,,,
-303.2000875,231.8691861,352,,,,,,,,,,,,,,,,,,,
-344.4058767,224.4477686,336,,,,,,,,,,,,,,,,,,,
-41.82624401,215.9180353,77,,,,,,,,,,,,,,,,,,,
-295.4004589,211.420111,336,,,,,,,,,,,,,,,,,,,
-92.1356583,215.7754707,393,,,,,,,,,,,,,,,,,,,
-15.67551281,211.5711742,407,,,,,,,,,,,,,,,,,,,
-227.1471122,202.0180641,289,,,,,,,,,,,,,,,,,,,
-50.43508665,197.369908,408,,,,,,,,,,,,,,,,,,,
-26.61945304,195.3907403,451,,,,,,,,,,,,,,,,,,,
-39.366504,206.3457487,264,,,,,,,,,,,,,,,,,,,
-65.01043224,202.9218225,273,,,,,,,,,,,,,,,,,,,
-18.16006163,203.0151339,360,,,,,,,,,,,,,,,,,,,
-36.64252035,202.9872264,206,,,,,,,,,,,,,,,,,,,
-0.241631262,190.2855716,474,,,,,,,,,,,,,,,,,,,
8.490319994,185.5542053,455,,,,,,,,,,,,,,,,,,,
-34.20814368,436,,,,,,,,,,,,,,,,,,,,
-20.95838731,413,,,,,,,,,,,,,,,,,,,,
-42.27505152,118,,,,,,,,,,,,,,,,,,,,
-55.72751609,447,,,,,,,,,,,,,,,,,,,,
-318.0245866,166,,,,,,,,,,,,,,,,,,,,
-296.3659249,336,,,,,,,,,,,,,,,,,,,,
-487.6093763,286,,,,,,,,,,,,,,,,,,,,
-300.7222703,328,,,,,,,,,,,,,,,,,,,,
-163.6300791,357,,,,,,,,,,,,,,,,,,,,
-122.7647362,287,,,,,,,,,,,,,,,,,,,,
-61.51818651,375,,,,,,,,,,,,,,,,,,,,
-12.33446713,314,,,,,,,,,,,,,,,,,,,,
-51.66543427,328,,,,,,,,,,,,,,,,,,,,
-11.40581023,394,,,,,,,,,,,,,,,,,,,,
-109.7396287,288,,,,,,,,,,,,,,,,,,,,
-19.00205341,339,,,,,,,,,,,,,,,,,,,,
5.212052285,195,,,,,,,,,,,,,,,,,,,,
-16.44544674,266,,,,,,,,,,,,,,,,,,,,
-25.62237966,320,,,,,,,,,,,,,,,,,,,,
-130.8421283,330,,,,,,,,,,,,,,,,,,,,
-44.05816362,340,,,,,,,,,,,,,,,,,,,,
-64.1631837,331,,,,,,,,,,,,,,,,,,,,
-334.3045045,183,,,,,,,,,,,,,,,,,,,,
-47.70478907,153,,,,,,,,,,,,,,,,,,,,
51.21395778,331,,,,,,,,,,,,,,,,,,,,
-143.2241754,375,,,,,,,,,,,,,,,,,,,,
-59.29945825,445,,,,,,,,,,,,,,,,,,,,
-247.9894217,257,,,,,,,,,,,,,,,,,,,,
-177.3638717,247,,,,,,,,,,,,,,,,,,,,
-206.6540402,167,,,,,,,,,,,,,,,,,,,,
-153.9127753,244,,,,,,,,,,,,,,,,,,,,
-65.34884586,272,,,,,,,,,,,,,,,,,,,,
-149.5731028,149,,,,,,,,,,,,,,,,,,,,
-63.81446715,384,,,,,,,,,,,,,,,,,,,,
-40.50240924,179,,,,,,,,,,,,,,,,,,,,
-75.60791263,414,,,,,,,,,,,,,,,,,,,,
-79.2021237,379,,,,,,,,,,,,,,,,,,,,
-270.6891824,241,,,,,,,,,,,,,,,,,,,,
-23.8918127,250,,,,,,,,,,,,,,,,,,,,
-40.91487623,243,,,,,,,,,,,,,,,,,,,,
-75.07344095,285,,,,,,,,,,,,,,,,,,,,
-34.06558652,332,,,,,,,,,,,,,,,,,,,,
-50.30910837,256,,,,,,,,,,,,,,,,,,,,
-340.8331209,373,,,,,,,,,,,,,,,,,,,,
-193.6292358,257,,,,,,,,,,,,,,,,,,,,
-30.51857384,227,,,,,,,,,,,,,,,,,,,,
-36.06942364,165,,,,,,,,,,,,,,,,,,,,
-68.47977562,290,,,,,,,,,,,,,,,,,,,,
-208.1954097,222,,,,,,,,,,,,,,,,,,,,
-226.2117852,241,,,,,,,,,,,,,,,,,,,,
-111.6705792,102,,,,,,,,,,,,,,,,,,,,
-237.8032727,229,,,,,,,,,,,,,,,,,,,,
-31.09309509,114,,,,,,,,,,,,,,,,,,,,
-93.60433388,235,,,,,,,,,,,,,,,,,,,,
-270.6642644,251,,,,,,,,,,,,,,,,,,,,
-275.4263603,174,,,,,,,,,,,,,,,,,,,,
-108.812099,170,,,,,,,,,,,,,,,,,,,,
-214.1609659,169,,,,,,,,,,,,,,,,,,,,
-172.4629901,180,,,,,,,,,,,,,,,,,,,,
-45.36014545,307,,,,,,,,,,,,,,,,,,,,
-79.0869154,227,,,,,,,,,,,,,,,,,,,,
-29.12701787,168,,,,,,,,,,,,,,,,,,,,
-181.7801443,126,,,,,,,,,,,,,,,,,,,,
-52.59285433,295,,,,,,,,,,,,,,,,,,,,
-19.6840326,270,,,,,,,,,,,,,,,,,,,,
-33.31557236,149,,,,,,,,,,,,,,,,,,,,
-44.2445577,144,,,,,,,,,,,,,,,,,,,,
3.86580957,140,,,,,,,,,,,,,,,,,,,,
-5.784126759,145,,,,,,,,,,,,,,,,,,,,
0.483899079,232,,,,,,,,,,,,,,,,,,,,
-47.39883934,301,,,,,,,,,,,,,,,,,,,,
-74.15269223,165,,,,,,,,,,,,,,,,,,,,
21.55554193,348,,,,,,,,,,,,,,,,,,,,
-2.35589548,282,,,,,,,,,,,,,,,,,,,,
19.82293486,94,,,,,,,,,,,,,,,,,,,,
-50.12578295,264,,,,,,,,,,,,,,,,,,,,
52.95650676,281,,,,,,,,,,,,,,,,,,,,
7.517986146,259,,,,,,,,,,,,,,,,,,,,
-13.75922185,224,,,,,,,,,,,,,,,,,,,,
-25.81497998,315,,,,,,,,,,,,,,,,,,,,
-25.02935673,153,,,,,,,,,,,,,,,,,,,,
-57.20294793,325,,,,,,,,,,,,,,,,,,,,
-2.266972836,195,,,,,,,,,,,,,,,,,,,,
-29.2037884,230,,,,,,,,,,,,,,,,,,,,
32.18420733,223,,,,,,,,,,,,,,,,,,,,
5.693441149,267,,,,,,,,,,,,,,,,,,,,
-26.32430655,285,,,,,,,,,,,,,,,,,,,,
-41.91714104,204,,,,,,,,,,,,,,,,,,,,
-13.46955128,179,,,,,,,,,,,,,,,,,,,,
-6.846799188,160,,,,,,,,,,,,,,,,,,,,
5.630799779,278,,,,,,,,,,,,,,,,,,,,
-2.085519897,301,,,,,,,,,,,,,,,,,,,,
-8.822511463,229,,,,,,,,,,,,,,,,,,,,
32.31571442,203,,,,,,,,,,,,,,,,,,,,
-15.96022457,281,,,,,,,,,,,,,,,,,,,,
-33.83309321,195,,,,,,,,,,,,,,,,,,,,
-32.92665175,304,,,,,,,,,,,,,,,,,,,,
9.802828642,316,,,,,,,,,,,,,,,,,,,,
-7.147180365,280,,,,,,,,,,,,,,,,,,,,
-28.42855392,289,,,,,,,,,,,,,,,,,,,,
-4.032221481,336,,,,,,,,,,,,,,,,,,,,
-28.36823211,288,,,,,,,,,,,,,,,,,,,,
-20.21826632,385,,,,,,,,,,,,,,,,,,,,
-49.48786121,408,,,,,,,,,,,,,,,,,,,,
10.07136491,364,,,,,,,,,,,,,,,,,,,,
-27.6393952,341,,,,,,,,,,,,,,,,,,,,
-41.40476376,381,,,,,,,,,,,,,,,,,,,,
-6.275539211,403,,,,,,,,,,,,,,,,,,,,
8.762223966,322,,,,,,,,,,,,,,,,,,,,
-9.61414666,324,,,,,,,,,,,,,,,,,,,,
-12.63959198,294,,,,,,,,,,,,,,,,,,,,
-54.71288294,324,,,,,,,,,,,,,,,,,,,,
-31.44027497,360,,,,,,,,,,,,,,,,,,,,
-40.75734426,350,,,,,,,,,,,,,,,,,,,,
47.166568,294,,,,,,,,,,,,,,,,,,,,
-39.09071625,330,,,,,,,,,,,,,,,,,,,,
-29.13773167,285,,,,,,,,,,,,,,,,,,,,
-10.99159049,298,,,,,,,,,,,,,,,,,,,,
2.543509293,349,,,,,,,,,,,,,,,,,,,,
-30.23129272,334,,,,,,,,,,,,,,,,,,,,
-1.155423242,365,,,,,,,,,,,,,,,,,,,,
-46.20553291,288,,,,,,,,,,,,,,,,,,,,
-54.66398988,376,,,,,,,,,,,,,,,,,,,,
12.54275355,342,,,,,,,,,,,,,,,,,,,,
38.79936513,273,,,,,,,,,,,,,,,,,,,,
-85.32103567,359,,,,,,,,,,,,,,,,,,,,
-35.80339953,242,,,,,,,,,,,,,,,,,,,,
49.0111773,288,,,,,,,,,,,,,,,,,,,,
-15.42721432,284,,,,,,,,,,,,,,,,,,,,
36.27012935,308,,,,,,,,,,,,,,,,,,,,
